org glyph	unicode
0x0021	u_05df
0x0022	u_05b8
0x0023	u_05e5
0x0024	u_05da
0x0025	u_05da__u_05b0
0x0026	u_05da__u_05bc
0x0027	u_05b8
0x0028	u_05bd
0x0029	u_05bd
0x002A	u_05bd
0x002B	u_0591
0x002C	u_05b6
0x002D	u_05be
0x002E	u_0fb0
0x002F	u_05b1
0x003A	u_05b7
0x003B	u_05b7
0x003C	u_05b6
0x003D	u_0591
0x003E	u_05be
0x003F	u_05b1
0x0040	u_05e3
0x0041	u_05d5__u_05ba
0x0042	u_05d1__u_05bc
0x0043	u_05e6__u_05bc
0x0044	u_05d3__u_05bc
0x0045	u_05b5
0x0046	u_05e9__u05c2__u_05bc
0x0047	u_05d2__u_05bc
0x0048	u_05d4__u_05bc
0x0049	u_05b4
0x004A	u_05d8__u_05bc
0x004B	u_05d8__u_05bc
0x004C	u_05dc__u_05bc
0x004D	u_05dcu_05dc__u_05bc
0x004E	u_05e0__u_05bc
0x004F	u_05b9
0x0050	u_05e4__u_05bc
0x0051	u_05e7__u_05bc
0x0052	u_05e8__u_05bc
0x0053	u_05e1__u_05bc
0x0054	u_05ea__u_05bc
0x0055	u_05bb
0x0056	u_05e9__u_05c1__u_05bc
0x0057	u_05d5__u_05bc
0x0058	u_05e9
0x0059	u_05d9__u_05bc
0x005A	u_05d6__u_05bc
0x005B	u_05e2
0x005C	u_05b3
0x005D	u_05b2
0x005E	u_05da__u_05b8
0x005F	u_0591
0x0060	u_05c3
0x0061	u_05d0
0x0062	u_05d1
0x0063	u_05e6
0x0064	u_05d3
0x0065	u_05b5
0x0066	u_05e9__u05c2
0x0067	u_05d2
0x0068	u_05d4
0x0069	u_05b4
0x006A	u_05d8
0x006B	u_05d8
0x006C	u_05dc
0x006D	u_05dc
0x006E	u_05e0
0x006F	u_05b9
0x0070	u_05e4
0x0071	u_05e7
0x0072	u_05e8
0x0073	u_05e1
0x0074	u_05ea
0x0075	u_05bb
0x0076	u_05e9__u_05c1
0x0077	u_05d5
0x0078	u_05d7
0x0079	u_05d9
0x007A	u_05d6
0x007B	u_05b9
0x007C	u_05b3
0x007D	u_05b2
0x007E	u_05dd
0x00A1	u_059f
0x00A2	u_05a6
0x00A5	u_05bd
0x00A6	u_0593
0x00A7	u_0595
0x00A8	u_0595
0x00A9	u_0597
0x00AA	u_0597
0x00AB	u_0599	not sure on this
0x00AC	u_0599	not sure on this
0x00AD	u_05e3__u_05bc
0x00AE	???
0x00AF	???
0x00B0	u_059b
0x00B1	u_059b
0x00B2	u_059b
0x00B3	u_a5a1	not sure on this
0x00DB	u_05a4
0x00DC	u_05a4
0x00DD	u_05a4
0x00DE	u_0596
0x00DF	u_0596
0x00E0	u_0596
0x00E1	u_05a2	not sure on this
0x00E2	u_0596
0x00E3	u_05bf
0x00E4	u_05a3
0x00E5	u_05a3
0x00E6	u_05a3
0x00E7	u_05a2	not sure on this
0x00E8	u_0592
0x00E9	u_0599
0x00EA	u_0594
0x00EB	u_0594
0x00EC	u_05ac
0x00ED	u_05ac
0x00EE	u_05a5
0x00EF	u_05a5
0x00F0	u_05a5
0x00F1	u_05ab
0x00F2	u_05ab
0x00F3	???
0x00F4	???
0x00F5	???
0x00F6	u_05a2	not sure on this
0x00F7	u_059c
0x00F8	u_059c
0x00F9	u_059e
0x00FA	u_059e
0x00FB	u_05a0
0x00FC	u_05a0
0x00FD	u_05a6
0x00FE	u_05bc
0x0160	???
0x0161	u_05af
0x0178	u_05c0
0x017E	???
0x02C6	u_059b
0x02DC	???
0x2013	u_05a6
0x2014	u_05a2	not sure on this
0x2018	u_0599
0x2019	u_0599
0x201A	u_05d0__u_05bc
0x201C	u_0599
0x201D	u_05a9
0x201E	u_05bc
0x2020	u_05bd
0x2021	u_05a1	not sure on this
0x2022	u_05a9
0x2026	u_059a
0x2030	u_05a2	not sure on this
0x2039	u_05af
0x203A	u_05af
0x20AC	u_0597
0x2122	???
